,Tweets,Subjectivity,Polarity,Analysis
6,"GM All!

Just a reminder, if it's too good to be true...

crypto ",0.625,0.5249999999999999,Positive
7,Glad to have invested in Burnt. Next gen Solana NFT marketplace now live on Mainnet 🔥🔥 ,0.5,0.21212121212121213,Positive
8, Thanks mate. Glad you liked it 🙏🏼,0.6666666666666666,0.4333333333333333,Positive
9,"Crypto News is live! Here's what I will be covering today:

- Cardano dApps
- Stacks Defi
- Polygon Upgrade
- Bitcoin Mining
- Latam Adoption
- Market Update

All of that and much more. Enjoy!

",0.5,0.39015151515151514,Positive
0,": MemeContest

$VOLT $MEAD

  meme ",0.0,0.0,Neutral
1,:  ,0.0,0.0,Neutral
2,": Daily Top % 🔥 Discord - Members  

🥇 $SDN +69.78% 
🥈 $REALM +31.74% 
🥉 $KIAN +23.12% 
🚀 $VOLT +21.84% 
🚀 $MEAD +21.76%…",0.25,0.25,Positive
3,Our Medium is now up! Check out our first article ,0.3333333333333333,0.25,Positive
4,: FOR ASGARD  ,0.0,0.0,Neutral
5,: Todays a good day to buy some $MEAD …I hear it’s still super early. Also that the  team is full of legends ⚡️⚡️,0.5291666666666667,0.37083333333333335,Positive
6,Asgardians you may now WRAP you $AMP! GET AMPED FOR $WAMP! $VOLT $MEAD,0.0,0.0,Neutral
7,: If you haven’t already updated yourself on the new announcements in our TG or DISGARD. Now is most definitely the time….…,0.48484848484848486,0.21212121212121213,Positive
8,": ⚡️⚡️Asgardians- CONTEST TIME!⚡️⚡️

Buy + Stake VOLT to earn FVOR and hold MEAD to win 

5 Day competition 

To enter: &amp; Hold…",0.4,0.8,Positive
9,_socko: TWO coins on top-gainers. 😏 $avax  ,0.0,0.0,Neutral
0,"🔥MoonBear Finance is finally listed on DappRadar.

🚀This opens the opportunity for more people to discover the great potential of $MBF.

This is the perfect time for you to join!

MBF cryptocurrency altcoins ",0.85,0.45999999999999996,Positive
1,"🗣️But if you want even better results and higher volume, you should keep inviting your friends and shill the project everywhere you can!

👍Everybody deserves to know about our revolutionary staking platform! Don’t be selfish and share it!

MBF crypto altcoin",0.6666666666666666,0.08854166666666667,Positive
2,"🐻Our $MBF Ads are LIVE🐻

🔥As you already know our staking platform has been generating rewards for all who have staked.

⬆️ And for more rewards, we need higher volume.

🚀 That’s why we have launched our ads to attract the attention to us!",0.5,0.40625,Positive
3,"🐻Our petition is going viral🐻

🌏Join us on the mission to save these animals from extinction and to protect them from torture!

🖊️Sign here - 

$MBF MBF ReleaseTheMoonBear CryptoNews   ",0.0,0.0,Neutral
4,"🐻Staking Rewards News🐻

🎉 All $MBF staking rewards will be automatically distributed every 8 hours if we have generated at least $500 in fees!

🙌 We truly appreciate your patience and understanding! The automatic distribution is already LIVE!

MBF cryptocurrency altcoin",0.45,-0.1491477272727273,Negative
5, You should check again. We are still up! :),1.0,0.5,Positive
6,"The overall market is looking RED, but $MBF is still GREEN(that's probably nothing)! 

If you don't believe, check - $BTC, $ETH, $SOL, $ADA, $LUNA, $DOT, $AVAX

And also coins like - $DOGE, $SHIB, $ELON, $FLOKI, $DOBO, $DOGGY

...and many more!

MBF HODL cryptocurrency ",0.25,0.28125,Positive
7,"🐻New $MBF Exchange Listing🐻

🎉 We are listing on Tokpie -  

🚀 Tokpie which has a 24h Trading Volume of $307,716,717 will be listing our MBF/USDT pair alongside their own marketing campaign!

MBF CryptoNews ALTSEASON",1.0,0.75,Positive
8,"🐻 $MBF has been finally added on Coinpaprika 🌶️

🖱️ Check the link - 

MBF BSC CryptocurrencyNews",1.0,0.0,Neutral
9,Thank you for the support. $MBF ,0.0,0.0,Neutral
0,"Bitcoin looking weak on daily chart. Needs a quick move above $43,600 (20 day moving average).

Cardano has retraced all the way down to the 50 day moving average (around $1.33) as anticipated in last video update.

Kind of a big day for BTC &amp; $ADA ",0.3380555555555556,0.010277777777777775,Positive
1,"I just received an email asking me to cover the current $ADA dip. This entire dip that is happening now was covered in last nights video…Not because it was a great prediction, but because TA works!

",0.46041666666666664,0.25,Positive
2,"Cardano blockchain is growing like never before and there is a lot to prepare for, both on the charts and on chain!

$ADA

",0.0,0.0,Neutral
3,"Right now, I’m flying high in the sky, like some cryptos we know 👀

$ADA ",0.5378571428571428,0.22285714285714286,Positive
4,"Most of the negativity surrounding Cardano is not knowledge-based, data-driven, or factual. It’s misrepresentation built on the back of projected bias.

Not only are they missing out, but this will ultimately fuel the $ADA rocket ship as Cardano begins to accumulate market share.",0.51,0.06,Positive
5,_Merten Incredible job Nicholas. I know it ain’t easy!,0.8666666666666667,0.7208333333333334,Positive
6,  Great job Shahaf.,0.75,0.8,Positive
7,"They said staking would never work, but Cardano now has the best staking w/ over 1M delegations

They said there would be no assets on $ADA, but there are now over 2M

They said there would never be smart contracts, but they are here

Now they say Cardano won’t scale…

Watch it!",0.4714285714285714,0.6339285714285714,Positive
8,": Cardano is set for a powerful move, but $ADA needs to break this huge resistance first.

",0.7444444444444445,0.3166666666666667,Positive
9,"  Watch my interview with Charles and what is in store for scalability in 2022.

As the network grows, Cardano increases capacity slowly alongside of it…increasing block size, pipelining, etc.

The SundaeSwap launch will be choppy at first, but will be handled.",0.3111111111111111,-0.08333333333333333,Negative
0,": With Cardano now entering the Basho optimization phase, ongoing enhancements to the core node will perform a key role.…",1.0,0.0,Neutral
1,Some times all you need is a little bit of bread ,0.5,-0.1875,Negative
2,": With the DApp ecosystem heating up for Cardano, it’s hard to keep track of all the many projects BuildingOnCardano. Bu…",0.5208333333333333,0.10416666666666666,Positive
3,Microsoft owns Diablo and World of Warcraft:  they also own the Davokin!,1.0,0.75,Positive
4, True story,0.65,0.35,Positive
5,"After all these years, still the best performance for any show on television  ",0.3,1.0,Positive
6,"Not going to lie, this made my day ",0.0,0.0,Neutral
7,"Just getting started Lark, it's just January ",0.0,0.0,Neutral
8,": cardano $ada is the number two blockchain in transaction volume in the last 24 hours 🤯

",0.06666666666666667,0.0,Neutral
9,"And this is before pipelining, input endorsers, and the defi wave. Just a wallet, ghost chain...... ",0.0,0.0,Neutral
0,"Layer 1 and the ""currencies""/tech in the top 50...

While remarkable

I dont think theres much barrier stopping Google/Paypal/Amazon from recreating.

They dont actually have any real world customers to prevent this. 98% of ownership is just people trading them.

Metaverse tho",0.37,0.32999999999999996,Positive
1,"Most of the cryptos are still waiting for a ""defined"" purpose/business model...aka real world application.

There is absolutely a defined business model for meta versel, NFTs, games.

I expect alot of the top 50 to be replaced by coins based on these.",0.55,0.35,Positive
2,Or maybe I’m not,0.0,0.0,Neutral
3,"S2s....

I’m almost done testing you",0.0,0.0,Neutral
4,  replying,0.0,0.0,Neutral
5,"WARNING : We can only take 40 influencers. Over 5000 people will enter.

We will go by size.

This is on the 22nd at 3pm est. Will take up 20-30 minutes of your time. A bit more if you win a round.",0.575,0.275,Positive
6,"If you have a following of 100k+ and want to play DM me at  

You will be skipped to the final rounds to play LIVE on Twitch in front of a F ton of people + have a hell of a viral video.

Round winners get 50k. Finals winners take home over $600k in nfts/crypto.",0.5,-0.015909090909090914,Negative
7,"Comment your eth wallet + last call for influencers that want in. (In reply)

A  screen of a fraction of the influencers playing in the meta tournaments followings.

Biggest NFT tourney ever. 10s of millions of subs. Nearly 1 million in prizes. Supported by Twitch on home page. ",0.23333333333333334,0.05,Positive
8,"Companies are pivoting WAY harder into the metaverse boom than than they every did (or ever have) for the rest of crypto/defi.

Its nearly impossible not to predict pure outlandish price action here soon JUST in the meta verse realm.

You blink this year and you'll miss it.",0.4,-0.11309523809523808,Negative
9,"Comment your eth wallet.

Hopefully you are quick on the trigger tomorrow when I post the qualifiers link.

=) ",0.75,0.41666666666666663,Positive
0,"_: Bitcoin , Ethereum , Monero Hashrates Tap Lifetime Highs — Dash , ETC , LTCs  Hashpower Lower Than Prior aths 
$BTC…",0.0,0.0,Neutral
1,"USDC Supply on Ethereum  Tops USDT 
$BTC  $ETH

Bitcoin       Ethereum       cryptocurrency       Coindailynews USDC USDT",0.0,0.0,Neutral
2,"Bitcoin , Ethereum , Monero Hashrates Tap Lifetime Highs — Dash , ETC , LTCs  Hashpower Lower Than Prior aths 
$BTC  $ETH

Bitcoin      Ethereum      cryptocurrency      Coindailynews  Dash  ETC  LTCs aths",0.0,0.0,Neutral
3,"_: Web2  to web3  – Will we Even Know it has Happened?
$BTC  $ETH

Bitcoin      Ethereum      cryp…",0.0,0.0,Neutral
4,"_: memecoin  Markets Gain Close to 5% in 24 Hours, dogecoin  Value Jumps, 3 Meme Tokens See Triple Digit gains 
$BTC  $ETH…",0.0,0.0,Neutral
5,"Web2  to web3  – Will we Even Know it has Happened?
$BTC  $ETH

Bitcoin      Ethereum      cryptocurrency      Coindailynews Web2 web3",0.0,0.0,Neutral
6,"memecoin  Markets Gain Close to 5% in 24 Hours, dogecoin  Value Jumps, 3 Meme Tokens See Triple Digit gains 
$BTC  $ETH

Bitcoin     Ethereum     cryptocurrency     Coindailynews memecoin Tesla dogecoin SHIB SpookyShiba kuma SOLAB Kitty",0.0,0.0,Neutral
7,"_: 10 of the best Metaverse  Cryptos  COINS  that may explode in 2022
$BTC  $ETH

Bitcoin  Ethereu…",0.3,1.0,Positive
8,"_: CoinGecko : Bitcoin  Outperformed Gold and other traditional  Assets in 2021

$BTC  $ETH
Bitcoin…",0.5625,-0.0625,Negative
9,"10 of the best Metaverse  Cryptos  COINS  that may explode in 2022
$BTC  $ETH

Bitcoin  Ethereum     cryptocurrency  MANA SAND AXS rfox tvk polis FINA ELAND MOOV Hero  Coindailynews",0.3,1.0,Positive
0,    _meme    _      _  It’s true – I do think a lot about rocket engine chamber pressure ahaha,0.65,0.35,Positive
1, Same,0.125,0.0,Neutral
2,  Ok,0.5,0.5,Positive
3, But is he playing it on Legendary difficulty?,1.0,1.0,Positive
4, Will do our best. Decentralized control of the robots will be critical.,0.55,0.5,Positive
5,  Sheer luck,0.75,0.0,Neutral
6, I hear versions of this often irl,0.0,0.0,Neutral
7,"Tesla AI might play a role in AGI, given that it trains against the outside world, especially with the advent of Optimus",0.525,0.0,Neutral
8,,0.0,0.0,Neutral
9,Believe in the future!,0.125,0.0,Neutral
0,   shes so peng,0.0,0.0,Neutral
1, ill have 4 just for you,1.0,-0.5,Negative
2,  right then,0.5357142857142857,0.2857142857142857,Positive
3,  i would like,0.0,0.0,Neutral
4,  😝,0.0,0.0,Neutral
5, who?,0.0,0.0,Neutral
6, cya with a full strength squad baby x,0.55,0.35,Positive
7, no,0.0,0.0,Neutral
8, zzzzz,0.0,0.0,Neutral
9,   my king,0.0,0.0,Neutral
0,“You must learn to forgive a man when he’s in love. He’s always a nuisance.” - Rudyard Kipling on Bitcoin,0.6,0.5,Positive
1,"The summary of the findings is included below, as well as the link to the livestream.



",0.0,0.0,Neutral
2,"Q4 Bitcoin Mining Council Survey Confirms Improvements in Sustainable Power Mix and Technological Efficiency. Estimated sustainable energy mix was 58.5%. Join us at 5pm ET today for a full briefing.
",0.55,0.35,Positive
3,“Everything is hard before it is easy.” - Goethe on Bitcoin,0.6875,0.07083333333333333,Positive
4,"Unlike everything else, no one can make any more bitcoin.  ",0.5,0.5,Positive
5,"_binance Join us Tuesday January 18 at 5pm EST for our Q4 briefing on the State of the Bitcoin Mining Industry, with an update on hash rate, energy, efficiency, &amp; sustainability metrics, along with briefings from a panel of BTC mining CEOs as well as Analyst Q&amp;A. 
 ",0.0,0.0,Neutral
6,"""Invisible airwaves crackle with life
Bright antenna bristle with the energy
Emotional feedback on timeless wavelength
Bearing a gift beyond price, almost free."" 

-  on Bitcoin",0.75,0.3666666666666667,Positive
7,“Money is a technology by which we transport value over time and space.” -  on Bitcoin ,0.0,0.0,Neutral
8,Carpe Bitcoin,0.0,0.0,Neutral
9,"_alert 489 of these scams were launched on YouTube last week. We report them every 15 minutes and they are taken down after a few hours, but the scammers just launch more…",0.15185185185185188,-0.11851851851851854,Negative
0,"Öncelikle, Bitcoin diyarı El Salvador’dan tüm Türkiye’ye selamlar 😊 ",0.0,0.0,Neutral
1,"¿Cuántos van renunciando ya? ¿Les queda alguno aparte de la Mila?

¡Hey, no sean así hombé! ",0.0,0.0,Neutral
2,:  and the Biden administration are seeking to subvert President  by directing United States fun…,0.0,0.0,Neutral
3," They should be able to have one, you’re right.

The problem is most of them don’t have an ID.

We’ll find a way, soon.",0.5535714285714285,0.42857142857142855,Positive
4,"4 million users!

*Total population: 6.5 million (including people under 18 that are still not allowed to use the app).

We have the receipts👇🏼

BTC ",0.75,0.0,Neutral
5,": Living Bitcoin only is possible? We just did it! 45 days traveling all over ElSalvador spending only bitcoin. 🇸🇻
 
More th…",0.875,0.125,Positive
6,: La nueva Sala de lo Penal nos da la razón y declara inadmisibles los recursos de Casación interpuestos por los acusado…,0.0,0.0,Neutral
7,": Many of the incumbents don’t understand the new world.

Even crazier, many of these incumbents didn’t understand the old wo…",0.41363636363636364,0.3090909090909091,Positive
8,": Será un placer recibirle aquí en Türkiye.

Damos mucha importancia a su visita que fortalecerá sin ninguna duda nuestras rel…",0.0,0.0,Neutral
9,Should I? ,0.0,0.0,Neutral
0, Like a rabbit hole of watching all of a directors movies or other ones written by the same person,0.25,-0.0625,Negative
1,wow she’s just like me ,1.0,0.1,Positive
2,This literally makes me laugh so hard every time I see it ,0.3208333333333333,0.004166666666666652,Positive
3,girl in my class told me her uncle follows me on here lmao,1.0,0.6,Positive
4, Vouch,0.0,0.0,Neutral
5,,0.0,0.0,Neutral
6,Licorice Pizza girl or something ,0.0,0.0,Neutral
7,: It’s giving Brandon,0.0,0.0,Neutral
8,: The Scary of Sixty-First (2021),1.0,-0.5,Negative
9, hehehe ❤️❤️❤️❤️,0.0,0.0,Neutral
